Current Loan Amount,Term,Credit Score,Annual Income,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Employment Years
316426.0,Long Term,717.0,683183.0,Rent,Debt Consolidation,16453.24,15.0,2.0,10.0,0.0,136952.0,554488.0,0.0,0.0,1.0
473902.0,Long Term,713.0,1042511.0,Home Mortgage,Debt Consolidation,22240.45,14.0,,7.0,0.0,232655.0,386496.0,0.0,0.0,5.0
223344.0,Short Term,716.0,1195898.0,Rent,Debt Consolidation,11759.86,17.6,71.0,7.0,0.0,94677.0,167618.0,0.0,0.0,10.0
766238.0,Long Term,649.0,1796165.0,Rent,Debt Consolidation,36821.24,33.1,,10.0,0.0,510093.0,925760.0,0.0,0.0,0.0
471152.0,Long Term,688.0,1017279.0,Rent,Debt Consolidation,14496.24,8.5,,7.0,0.0,115444.0,218064.0,0.0,0.0,0.0
563486.0,Short Term,747.0,2647308.0,Rent,Debt Consolidation,45666.12,16.8,,26.0,0.0,137256.0,2337082.0,0.0,0.0,2.0
219824.0,Long Term,702.0,2088328.0,Home Mortgage,Debt Consolidation,22275.41,21.7,,13.0,1.0,155800.0,451044.0,1.0,0.0,0.0
304986.0,Long Term,674.0,4872778.0,Rent,Debt Consolidation,30130.01,21.9,26.0,13.0,0.0,155078.0,1081740.0,0.0,0.0,3.0
105666.0,Long Term,742.0,806170.0,Home Mortgage,Debt Consolidation,15135.78,15.9,,10.0,0.0,226708.0,653026.0,0.0,0.0,4.0
346412.0,Short Term,,,Home Mortgage,Debt Consolidation,7824.39,14.8,74.0,10.0,0.0,333678.0,482966.0,0.0,0.0,9.0
253506.0,Long Term,733.0,1403492.0,Rent,Debt Consolidation,30525.78,26.7,40.0,19.0,0.0,16492.0,149138.0,0.0,0.0,4.0
170126.0,Short Term,712.0,1137492.0,Rent,Other,3564.21,12.5,40.0,5.0,0.0,70205.0,109692.0,0.0,0.0,3.0
134398.0,Short Term,746.0,2205425.0,Own Home,Medical Bills,38447.83,33.5,,15.0,0.0,668629.0,1084314.0,0.0,0.0,10.0
442948.0,Long Term,719.0,956365.0,Rent,Debt Consolidation,26618.81,8.0,,17.0,0.0,384351.0,1101562.0,0.0,0.0,2.0
142868.0,Short Term,740.0,2429815.0,Rent,Debt Consolidation,14781.43,31.0,52.0,15.0,0.0,189449.0,507782.0,0.0,0.0,10.0
332508.0,Short Term,707.0,926345.0,Home Mortgage,Debt Consolidation,13895.27,19.6,,9.0,0.0,356554.0,571010.0,0.0,0.0,4.0
235950.0,Short Term,726.0,1164396.0,Own Home,Debt Consolidation,13390.63,15.7,,7.0,0.0,168074.0,321156.0,0.0,0.0,7.0
290708.0,Short Term,744.0,1487776.0,Rent,Debt Consolidation,10067.15,17.1,,9.0,0.0,387277.0,1047706.0,0.0,0.0,10.0
153714.0,Short Term,740.0,995714.0,Home Mortgage,Debt Consolidation,13939.92,21.7,,8.0,0.0,218614.0,371184.0,0.0,0.0,10.0
69366.0,Short Term,731.0,1273133.0,Rent,Debt Consolidation,28433.5,20.5,,11.0,0.0,84930.0,339086.0,0.0,0.0,3.0
108878.0,Short Term,751.0,1316434.0,Home Mortgage,Debt Consolidation,4377.22,37.5,,18.0,0.0,354920.0,2151556.0,0.0,0.0,10.0
288068.0,Long Term,685.0,948062.0,Rent,Debt Consolidation,22121.32,14.5,,13.0,0.0,358359.0,527912.0,0.0,0.0,2.0
447436.0,Long Term,722.0,1159266.0,Home Mortgage,Debt Consolidation,20287.25,43.4,,17.0,0.0,448514.0,1022318.0,0.0,0.0,10.0
401192.0,Short Term,721.0,1116440.0,Rent,Debt Consolidation,14792.83,13.5,48.0,9.0,0.0,431414.0,731368.0,0.0,0.0,4.0
165440.0,Short Term,,,Home Mortgage,Debt Consolidation,8257.21,12.2,,7.0,0.0,54986.0,117260.0,0.0,0.0,3.0
168124.0,Short Term,711.0,967955.0,Rent,Other,14519.42,14.5,34.0,18.0,0.0,143697.0,311608.0,0.0,0.0,1.0
306460.0,Long Term,652.0,3503106.0,Rent,Business Loan,7590.12,10.2,,9.0,0.0,133817.0,303226.0,0.0,0.0,7.0
657162.0,Short Term,740.0,3783660.0,Home Mortgage,Debt Consolidation,25508.07,15.2,13.0,14.0,0.0,579937.0,948464.0,0.0,0.0,3.0
314072.0,Short Term,748.0,627722.0,Rent,Debt Consolidation,9959.99,29.2,,11.0,0.0,211242.0,1881462.0,0.0,0.0,10.0
763686.0,Long Term,740.0,2581663.0,Rent,Debt Consolidation,46469.82,25.6,,15.0,0.0,1137036.0,3033580.0,0.0,0.0,3.0
526900.0,Long Term,667.0,1516808.0,Rent,Debt Consolidation,22246.53,23.0,6.0,7.0,0.0,196992.0,254584.0,0.0,0.0,10.0
330132.0,Short Term,743.0,1520608.0,Rent,Debt Consolidation,17613.76,17.0,7.0,15.0,0.0,133133.0,213510.0,0.0,0.0,8.0
774928.0,Short Term,,,Home Mortgage,Debt Consolidation,50060.44,15.9,43.0,11.0,0.0,721715.0,1069992.0,0.0,0.0,0.0
531124.0,Long Term,,,Home Mortgage,Debt Consolidation,30020.95,19.0,,22.0,1.0,563293.0,949388.0,1.0,0.0,0.0
292072.0,Short Term,,,Home Mortgage,Debt Consolidation,15030.33,9.8,,10.0,0.0,304133.0,525602.0,0.0,0.0,4.0
,Short Term,746.0,1132590.0,Rent,Debt Consolidation,8230.23,22.0,20.0,5.0,0.0,298623.0,917180.0,0.0,0.0,8.0
107668.0,Short Term,747.0,1394790.0,Home Mortgage,Debt Consolidation,29290.59,18.2,11.0,10.0,0.0,160474.0,529386.0,0.0,0.0,4.0
268906.0,Short Term,738.0,909606.0,Rent,Debt Consolidation,16145.63,18.0,14.0,11.0,0.0,589285.0,1201288.0,0.0,0.0,0.0
62172.0,Short Term,,,Rent,Debt Consolidation,3239.69,5.8,,11.0,0.0,97774.0,193182.0,0.0,0.0,0.0
156398.0,Short Term,716.0,1234962.0,Home Mortgage,Other,26757.7,19.5,9.0,21.0,0.0,466108.0,958606.0,0.0,0.0,10.0
44198.0,Long Term,717.0,839838.0,Home Mortgage,Other,15047.24,17.5,40.0,7.0,1.0,127699.0,176858.0,1.0,0.0,10.0
765314.0,Long Term,690.0,1888410.0,Home Mortgage,Home Improvements,10543.48,16.5,,11.0,0.0,97869.0,602822.0,0.0,0.0,5.0
232364.0,Short Term,742.0,580260.0,Home Mortgage,Debt Consolidation,4506.61,22.3,,5.0,0.0,79363.0,685740.0,0.0,0.0,5.0
141724.0,Short Term,715.0,847400.0,Rent,Debt Consolidation,14405.61,13.8,66.0,8.0,0.0,80750.0,102520.0,0.0,0.0,5.0
180356.0,Short Term,,,Home Mortgage,Debt Consolidation,10221.43,25.1,,7.0,1.0,85424.0,202708.0,1.0,0.0,10.0
111408.0,Short Term,736.0,1346891.0,Rent,Debt Consolidation,19529.91,10.6,,13.0,0.0,170221.0,227348.0,0.0,0.0,3.0
161854.0,Short Term,701.0,660079.0,Home Mortgage,Other,7810.9,17.9,76.0,9.0,0.0,231401.0,380050.0,0.0,0.0,2.0
145046.0,Short Term,730.0,832428.0,Rent,Debt Consolidation,15677.28,13.2,,6.0,1.0,30552.0,123288.0,1.0,0.0,3.0
272976.0,Long Term,,,Home Mortgage,Buy House,9332.23,12.8,,18.0,0.0,209171.0,552970.0,0.0,0.0,0.0
61358.0,Short Term,746.0,454214.0,Rent,Other,1059.82,13.3,,3.0,0.0,3553.0,32428.0,0.0,0.0,2.0
152196.0,Short Term,,,Rent,Other,7908.56,18.0,39.0,10.0,0.0,117439.0,358776.0,0.0,0.0,3.0
313676.0,Long Term,,,Home Mortgage,Debt Consolidation,7376.37,17.3,,14.0,1.0,186257.0,346720.0,1.0,0.0,10.0
293436.0,Short Term,730.0,1357531.0,Rent,Debt Consolidation,21946.9,26.2,,7.0,0.0,763857.0,1188792.0,0.0,0.0,10.0
773696.0,Long Term,697.0,2959136.0,Home Mortgage,Debt Consolidation,47099.48,17.0,,9.0,0.0,786942.0,1143274.0,0.0,0.0,8.0
129844.0,Short Term,727.0,1214746.0,Home Mortgage,Debt Consolidation,19840.94,21.2,11.0,11.0,0.0,175427.0,448404.0,0.0,0.0,8.0
211156.0,Long Term,717.0,1177848.0,Home Mortgage,Home Improvements,14173.24,18.7,78.0,7.0,0.0,276754.0,494538.0,0.0,0.0,5.0
224202.0,Short Term,699.0,619609.0,Rent,Debt Consolidation,17504.13,7.6,36.0,14.0,0.0,107730.0,188452.0,0.0,0.0,2.0
150942.0,Short Term,,,Home Mortgage,Debt Consolidation,5122.02,6.6,,8.0,0.0,93176.0,567842.0,0.0,0.0,4.0
442706.0,Long Term,648.0,1593036.0,Home Mortgage,Debt Consolidation,29736.71,30.4,,19.0,0.0,473214.0,740432.0,0.0,0.0,10.0
403700.0,Long Term,673.0,1458136.0,Rent,Debt Consolidation,6938.23,21.0,,8.0,1.0,363375.0,627990.0,1.0,0.0,5.0
217756.0,Long Term,738.0,752248.0,Rent,Debt Consolidation,10324.6,13.8,,10.0,0.0,95456.0,311366.0,0.0,0.0,5.0
,Short Term,749.0,1483881.0,Rent,Debt Consolidation,15086.19,22.4,,15.0,0.0,65968.0,606210.0,0.0,0.0,4.0
404734.0,Long Term,657.0,1209977.0,Home Mortgage,Debt Consolidation,30451.11,20.8,,24.0,0.0,600096.0,1030942.0,0.0,0.0,1.0
260744.0,Long Term,704.0,2683579.0,Home Mortgage,Debt Consolidation,31308.39,37.3,40.0,14.0,1.0,109003.0,167376.0,1.0,0.0,3.0
490226.0,Long Term,664.0,1896390.0,Home Mortgage,Debt Consolidation,19912.19,14.0,,7.0,0.0,75487.0,195558.0,0.0,0.0,10.0
328614.0,Short Term,707.0,794656.0,Home Mortgage,Other,12714.42,20.0,,13.0,0.0,419710.0,880396.0,0.0,0.0,7.0
,Short Term,712.0,1874920.0,Rent,Debt Consolidation,10452.66,22.4,19.0,5.0,3.0,159239.0,312510.0,0.0,3.0,7.0
54736.0,Short Term,707.0,1550362.0,Home Mortgage,Other,29844.63,18.0,82.0,12.0,0.0,772806.0,963204.0,0.0,0.0,10.0
71962.0,Short Term,743.0,310783.0,Rent,Debt Consolidation,388.55,30.4,,7.0,1.0,30438.0,244750.0,1.0,0.0,0.0
180026.0,Short Term,,,Rent,Debt Consolidation,13863.73,8.7,,11.0,0.0,210615.0,258874.0,0.0,0.0,2.0
324632.0,Short Term,,,Rent,Debt Consolidation,16335.25,19.5,16.0,10.0,0.0,257925.0,449768.0,0.0,0.0,5.0
120736.0,Short Term,725.0,1137606.0,Rent,Buy A Car,6598.13,16.3,5.0,14.0,0.0,144704.0,504680.0,0.0,0.0,0.0
,Short Term,675.0,782686.0,Rent,Medical Bills,13892.61,6.4,,12.0,0.0,66006.0,250580.0,0.0,0.0,5.0
259908.0,Short Term,,,Home Mortgage,Debt Consolidation,16203.58,16.1,,7.0,0.0,110580.0,158092.0,0.0,0.0,1.0
,Short Term,721.0,661808.0,Home Mortgage,Debt Consolidation,14725.19,13.7,77.0,18.0,0.0,323380.0,455510.0,0.0,0.0,5.0
539836.0,Long Term,720.0,1995399.0,Rent,Debt Consolidation,31261.08,24.5,33.0,9.0,0.0,300694.0,399278.0,0.0,0.0,10.0
518804.0,Short Term,,,Home Mortgage,Debt Consolidation,26183.9,22.1,,15.0,0.0,386612.0,1695628.0,0.0,0.0,3.0
,Short Term,728.0,775276.0,Rent,Debt Consolidation,14536.52,9.8,,15.0,0.0,334628.0,646844.0,0.0,0.0,3.0
,Short Term,742.0,2406825.0,Home Mortgage,Debt Consolidation,22463.7,13.6,,10.0,1.0,580963.0,1067792.0,1.0,0.0,4.0
468754.0,Short Term,746.0,1773517.0,Home Mortgage,Debt Consolidation,36061.62,31.4,,8.0,2.0,692949.0,1582548.0,0.0,2.0,10.0
430628.0,Short Term,,,Home Mortgage,Debt Consolidation,11365.8,15.4,,7.0,0.0,338428.0,876678.0,0.0,0.0,3.0
213004.0,Long Term,731.0,1316814.0,Home Mortgage,Medical Bills,13870.38,22.1,51.0,14.0,0.0,160341.0,1355156.0,0.0,0.0,10.0
235026.0,Long Term,724.0,966530.0,Home Mortgage,Debt Consolidation,15142.24,10.3,,10.0,0.0,52934.0,255332.0,0.0,0.0,9.0
517484.0,Short Term,748.0,1955309.0,Home Mortgage,Debt Consolidation,22160.08,19.2,,20.0,0.0,291099.0,1353660.0,0.0,0.0,10.0
,Short Term,709.0,755060.0,Rent,Other,15227.17,14.3,,13.0,0.0,220286.0,362824.0,0.0,0.0,7.0
240548.0,Long Term,695.0,1556974.0,Home Mortgage,Debt Consolidation,33345.0,26.0,36.0,32.0,1.0,294614.0,1176274.0,0.0,0.0,6.0
781946.0,Long Term,643.0,1736505.0,Home Mortgage,Debt Consolidation,29810.05,30.1,2.0,8.0,0.0,64619.0,82676.0,0.0,0.0,10.0
,Short Term,745.0,728992.0,Rent,Debt Consolidation,15430.47,21.5,36.0,11.0,1.0,69407.0,275220.0,1.0,0.0,4.0
761684.0,Short Term,747.0,1597558.0,Home Mortgage,Debt Consolidation,23696.99,25.0,,16.0,0.0,607107.0,2440878.0,0.0,0.0,10.0
126346.0,Short Term,714.0,858458.0,Rent,Debt Consolidation,9586.07,14.8,56.0,5.0,0.0,78546.0,117656.0,0.0,0.0,8.0
248094.0,Short Term,725.0,557745.0,Rent,Debt Consolidation,8319.72,16.1,,7.0,0.0,211679.0,441628.0,0.0,0.0,0.0
220858.0,Short Term,,,Home Mortgage,Debt Consolidation,12974.34,21.8,14.0,11.0,0.0,25365.0,114730.0,0.0,0.0,7.0
335082.0,Short Term,,,Rent,Debt Consolidation,12290.91,10.9,23.0,9.0,0.0,137750.0,301510.0,0.0,0.0,7.0
210892.0,Short Term,746.0,739898.0,Rent,Other,7645.6,10.5,28.0,10.0,0.0,74765.0,250206.0,0.0,0.0,0.0
443916.0,Short Term,738.0,2396147.0,Rent,Debt Consolidation,36541.18,15.7,78.0,16.0,0.0,539961.0,897006.0,0.0,0.0,2.0
390170.0,Short Term,,,Home Mortgage,Debt Consolidation,3279.4,27.7,12.0,9.0,0.0,105412.0,266508.0,0.0,0.0,10.0
436700.0,Short Term,,,Rent,Debt Consolidation,12584.27,18.0,,4.0,0.0,489744.0,851466.0,0.0,0.0,10.0
756448.0,Short Term,741.0,1530583.0,Home Mortgage,Debt Consolidation,21683.18,22.1,,7.0,0.0,861156.0,1140876.0,0.0,0.0,4.0
178310.0,Short Term,716.0,1308929.0,Rent,Debt Consolidation,20288.39,14.8,61.0,11.0,0.0,231344.0,401038.0,0.0,0.0,5.0
,Short Term,708.0,805391.0,Rent,Debt Consolidation,18792.52,17.9,44.0,10.0,0.0,99180.0,219164.0,0.0,0.0,5.0
268884.0,Long Term,,,Home Mortgage,Debt Consolidation,35680.86,21.7,,14.0,1.0,1136485.0,1638780.0,1.0,0.0,5.0
310244.0,Short Term,745.0,1456217.0,Rent,Debt Consolidation,20022.77,14.7,,7.0,0.0,154261.0,472538.0,0.0,0.0,3.0
,Long Term,737.0,1553744.0,Home Mortgage,Debt Consolidation,27967.43,28.5,28.0,16.0,0.0,346617.0,707850.0,0.0,0.0,4.0
661892.0,Short Term,742.0,1849023.0,Home Mortgage,Debt Consolidation,27735.25,11.8,,15.0,0.0,201134.0,684992.0,0.0,0.0,2.0
225522.0,Short Term,743.0,1685547.0,Home Mortgage,Debt Consolidation,18681.56,13.6,,7.0,0.0,101973.0,219076.0,0.0,0.0,10.0
229944.0,Short Term,708.0,584934.0,Own Home,Home Improvements,872.48,16.2,,10.0,0.0,76304.0,552222.0,0.0,0.0,1.0
72424.0,Short Term,737.0,786695.0,Home Mortgage,Debt Consolidation,7604.75,17.5,45.0,16.0,0.0,166136.0,307296.0,0.0,0.0,8.0
537922.0,Short Term,742.0,2032506.0,Home Mortgage,Debt Consolidation,27608.14,18.2,26.0,10.0,0.0,1172718.0,1398430.0,0.0,0.0,8.0
359700.0,Short Term,713.0,1941610.0,Home Mortgage,Home Improvements,26697.09,22.2,72.0,9.0,0.0,539030.0,762058.0,0.0,0.0,10.0
320584.0,Long Term,606.0,894349.0,Home Mortgage,Debt Consolidation,21091.52,13.8,,9.0,0.0,34238.0,72732.0,0.0,0.0,
,Short Term,709.0,1465394.0,Home Mortgage,Home Improvements,35413.91,15.2,,19.0,0.0,211489.0,1475166.0,0.0,0.0,8.0
620796.0,Long Term,713.0,2393525.0,Rent,Debt Consolidation,21142.82,18.3,49.0,10.0,0.0,132544.0,534732.0,0.0,0.0,2.0
257642.0,Short Term,741.0,3152157.0,Rent,Debt Consolidation,11163.83,20.6,28.0,15.0,0.0,284278.0,901802.0,0.0,0.0,2.0
87208.0,Short Term,707.0,1977254.0,Home Mortgage,Other,45311.77,22.6,41.0,13.0,0.0,316160.0,416460.0,0.0,0.0,10.0
44330.0,Short Term,675.0,765700.0,Home Mortgage,Other,10336.95,21.7,10.0,4.0,0.0,38722.0,53196.0,0.0,0.0,10.0
123156.0,Short Term,731.0,1063715.0,Own Home,Other,7694.05,13.6,33.0,6.0,0.0,114.0,67188.0,0.0,0.0,0.0
782254.0,Long Term,634.0,3223445.0,Rent,Business Loan,24740.09,15.1,65.0,10.0,1.0,44327.0,255310.0,1.0,0.0,10.0
21670.0,Short Term,713.0,805068.0,Rent,Home Improvements,7782.4,17.4,36.0,21.0,0.0,87799.0,612370.0,0.0,0.0,10.0
270028.0,Short Term,,,Home Mortgage,Debt Consolidation,17509.26,21.5,49.0,10.0,0.0,227335.0,427306.0,0.0,0.0,3.0
393228.0,Short Term,683.0,1320690.0,Rent,Debt Consolidation,25643.54,15.3,,14.0,0.0,146338.0,382470.0,0.0,0.0,4.0
125422.0,Short Term,735.0,928511.0,Home Mortgage,Debt Consolidation,14546.59,15.9,55.0,17.0,0.0,73549.0,197120.0,0.0,0.0,7.0
,Long Term,707.0,2012803.0,Home Mortgage,Debt Consolidation,53339.46,17.0,,13.0,0.0,953857.0,1434378.0,0.0,0.0,
389224.0,Short Term,,,Rent,Debt Consolidation,17268.34,12.1,,6.0,0.0,339226.0,458348.0,0.0,0.0,5.0
431640.0,Short Term,722.0,2329875.0,Home Mortgage,Home Improvements,21551.32,22.6,55.0,12.0,0.0,238621.0,325820.0,0.0,0.0,4.0
75064.0,Short Term,697.0,375858.0,Rent,Debt Consolidation,9333.94,11.7,37.0,2.0,0.0,19950.0,54384.0,0.0,0.0,3.0
80938.0,Long Term,695.0,431034.0,Rent,Other,7708.3,11.4,,6.0,0.0,89547.0,148324.0,0.0,0.0,1.0
298298.0,Long Term,701.0,1217843.0,Home Mortgage,Debt Consolidation,11467.83,13.4,17.0,7.0,0.0,75316.0,192940.0,0.0,0.0,10.0
295966.0,Long Term,,,Rent,Debt Consolidation,15682.22,18.6,36.0,8.0,0.0,62814.0,246576.0,0.0,0.0,5.0
108064.0,Short Term,731.0,597303.0,Rent,Debt Consolidation,5475.23,12.8,20.0,15.0,1.0,32110.0,97328.0,0.0,1.0,3.0
256982.0,Short Term,,,Home Mortgage,Debt Consolidation,15095.88,19.8,,11.0,0.0,338732.0,1431430.0,0.0,0.0,8.0
216722.0,Short Term,710.0,580222.0,Rent,Debt Consolidation,14070.45,19.1,15.0,11.0,0.0,56544.0,382888.0,0.0,0.0,1.0
427790.0,Long Term,,,Own Home,Debt Consolidation,17395.26,26.5,6.0,22.0,0.0,2660095.0,11536008.0,0.0,0.0,
354860.0,Short Term,735.0,1436552.0,Home Mortgage,Debt Consolidation,36512.11,16.3,,19.0,0.0,2092280.0,4017640.0,0.0,0.0,10.0
354882.0,Short Term,732.0,948214.0,Home Mortgage,Debt Consolidation,18727.35,8.5,51.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0
475244.0,Short Term,736.0,1772339.0,Home Mortgage,Debt Consolidation,34412.61,19.2,,22.0,0.0,537852.0,777524.0,0.0,0.0,8.0
140976.0,Short Term,707.0,1311114.0,Rent,Debt Consolidation,12674.14,8.4,14.0,12.0,0.0,150936.0,232078.0,0.0,0.0,4.0
